Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037575103","Census Tract 5751.03, Los Angeles County, California","ACSSF","ca","140","00","0006214",,,,,"06","037",,,"575103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575103","Census Tract 5751.03",,,,2124,49,91,54,127,101,92,85,253,71,271,139,311,218,100,123,39,2.31,4.28,2.54,5.98,4.76,4.33,4,11.91,3.34,12.76,6.54,14.64,10.26,4.71,5.79,1.84
"06037575201","Census Tract 5752.01, Los Angeles County, California","ACSSF","ca","140","00","0006215",,,,,"06","037",,,"575201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575201","Census Tract 5752.01",,,,1246,84,68,25,70,29,141,77,53,55,181,118,155,90,64,26,10,6.74,5.46,2.01,5.62,2.33,11.32,6.18,4.25,4.41,14.53,9.47,12.44,7.22,5.14,2.09,0.8
"06037575202","Census Tract 5752.02, Los Angeles County, California","ACSSF","ca","140","00","0006216",,,,,"06","037",,,"575202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575202","Census Tract 5752.02",,,,1134,87,26,78,88,19,19,96,87,65,116,101,162,56,62,39,33,7.67,2.29,6.88,7.76,1.68,1.68,8.47,7.67,5.73,10.23,8.91,14.29,4.94,5.47,3.44,2.91
"06037575300","Census Tract 5753, Los Angeles County, California","ACSSF","ca","140","00","0006217",,,,,"06","037",,,"575300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575300","Census Tract 5753",,,,1327,106,183,120,13,49,115,50,49,94,205,82,109,102,32,13,5,7.99,13.79,9.04,0.98,3.69,8.67,3.77,3.69,7.08,15.45,6.18,8.21,7.69,2.41,0.98,0.38
"06037575401","Census Tract 5754.01, Los Angeles County, California","ACSSF","ca","140","00","0006218",,,,,"06","037",,,"575401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575401","Census Tract 5754.01",,,,1271,60,78,150,82,87,165,28,136,47,112,52,66,55,51,68,34,4.72,6.14,11.8,6.45,6.85,12.98,2.2,10.7,3.7,8.81,4.09,5.19,4.33,4.01,5.35,2.68
"06037575402","Census Tract 5754.02, Los Angeles County, California","ACSSF","ca","140","00","0006219",,,,,"06","037",,,"575402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575402","Census Tract 5754.02",,,,1122,43,89,83,43,36,92,53,45,64,91,268,107,60,21,21,6,3.83,7.93,7.4,3.83,3.21,8.2,4.72,4.01,5.7,8.11,23.89,9.54,5.35,1.87,1.87,0.53
"06037575801","Census Tract 5758.01, Los Angeles County, California","ACSSF","ca","140","00","0006220",,,,,"06","037",,,"575801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575801","Census Tract 5758.01",,,,756,33,39,20,70,38,133,58,30,6,53,90,99,46,39,0,2,4.37,5.16,2.65,9.26,5.03,17.59,7.67,3.97,0.79,7.01,11.9,13.1,6.08,5.16,0,0.26
"06037575802","Census Tract 5758.02, Los Angeles County, California","ACSSF","ca","140","00","0006221",,,,,"06","037",,,"575802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575802","Census Tract 5758.02",,,,1664,157,142,56,89,122,90,31,94,90,258,189,194,91,61,0,0,9.44,8.53,3.37,5.35,7.33,5.41,1.86,5.65,5.41,15.5,11.36,11.66,5.47,3.67,0,0
"06037575803","Census Tract 5758.03, Los Angeles County, California","ACSSF","ca","140","00","0006222",,,,,"06","037",,,"575803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575803","Census Tract 5758.03",,,,1312,106,419,70,35,118,88,28,39,58,59,38,115,39,23,19,58,8.08,31.94,5.34,2.67,8.99,6.71,2.13,2.97,4.42,4.5,2.9,8.77,2.97,1.75,1.45,4.42
"06037575901","Census Tract 5759.01, Los Angeles County, California","ACSSF","ca","140","00","0006223",,,,,"06","037",,,"575901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575901","Census Tract 5759.01",,,,1520,173,150,48,95,56,69,0,60,61,156,108,172,98,122,92,60,11.38,9.87,3.16,6.25,3.68,4.54,0,3.95,4.01,10.26,7.11,11.32,6.45,8.03,6.05,3.95
